Familia,Especie,Nombre comun,Origen,Numero de individuos,Sector
Muscidae,"Cyrtoneuropsis rescita (Mosca de establo, mosca de la casa)","Mosca de establo, mosca de la casa",Introducido,1,Bellavista
Ceratopogonidae,Forcipomyia genualis (Mosquito mordedor),Mosquito mordedor,Introducido,1,Bellavista
Syrphidae,Toxomerus crockeri (Mosca de las flores),Mosca de las flores,Endémico,1,Bellavista
Syrphidae,Toxomerus crockeri (Mosca de las flores),Mosca de las flores,Endémico,1,Bellavista
Syrphidae,Toxomerus crockeri (Mosca de las flores),Mosca de las flores,Endémico,1,Bellavista
Agromyzidae,Liriomyza marginalis (Mosca minadora de hojas),Mosca minadora de hojas,Nativo,1,Bellavista
Ceratopogonidae,Forcipomyia genualis (Mosquito mordedor),Mosquito mordedor,Introducido,2,Bellavista
Ceratopogonidae,Forcipomyia genualis (Mosquito mordedor),Mosquito mordedor,Introducido,3,Bellavista
Ceratopogonidae,Forcipomyia galapagensis (Mosquito mordedor),Mosquito mordedor,Endémico,1,Bellavista
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,1,Bellavista
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,1,Bellavista
Ceratopogonidae,Dasyhelea ancora (Mosquito mordedor),Mosquito mordedor,Nativo,1,Bellavista
Ceratopogonidae,Dasyhelea ancora (Mosquito mordedor),Mosquito mordedor,Nativo,1,Bellavista
Ceratopogonidae,Dasyhelea ancora (Mosquito mordedor),Mosquito mordedor,Nativo,2,Bellavista
Ceratopogonidae,Culicoides pusillus (Mosquito mordedor),Mosquito mordedor,Introducido,1,Bellavista
Chrysopidae,Ceraeochrysa cincta (León de los áfidos),León de los áfidos,Desconocido,1,Bellavista
Chrysopidae,Ceraeochrysa cincta (León de los áfidos),León de los áfidos,Desconocido,1,Bellavista
Chrysopidae,Ceraeochrysa cincta (León de los áfidos),León de los áfidos,Desconocido,1,Bellavista
Chrysopidae,Ceraeochrysa everes (León de los áfidos),León de los áfidos,Desconocido,1,Bellavista
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,3,Bellavista
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,4,Bellavista
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,5,Bellavista
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,86,Bellavista
