Especie,Origen,Sector,Nombre comun,Familia,Numero de individuos
Abrus precatorius,Introducido,Bellavista,"regaliz americano, árbol del rosario, bejuco de peonia perlas rojas",Fabaceae,2
Acacia cf. macracantha,Nativo,Cascajo,acacia botón,Mimosaceae,1
Acalypha parvula,Endémico,Camote,NA,Euphorbiaceae,2
Acalypha wilkesiana,Introducido,Bellavista,cresta de pavo,Euphorbiaceae,1
Acalypha wilkesiana,Introducido,Camote,cresta de pavo,Euphorbiaceae,1
Acalypha wilkesiana,Introducido,El Carmen,cresta de pavo,Euphorbiaceae,2
Acalypha wilkesiana,Introducido,Cascajo,cresta de pavo,Euphorbiaceae,1
Acalypha wilkesiana,Introducido,Guayabillos,cresta de pavo,Euphorbiaceae,1
Acanthocereus tetragonus cv. 'Fairy tale',Introducido,Bellavista,(Fairy castle cactus),Cactaceae,1
Acanthocereus tetragonus cv. 'Fairy tale',Introducido,Camote,(Fairy castle cactus),Cactaceae,1
Acanthocereus tetragonus cv. 'Fairy tale',Introducido,Cascajo,(Fairy castle cactus),Cactaceae,1
Achillea millefolium,Introducido,Cascajo,milenrama,Asteraceae,1
Achyranthes aspera,Introducido,Bellavista,malpica,Amaranthaceae,1
Achyranthes aspera,Introducido,El Carmen,malpica,Amaranthaceae,1
Achyranthes aspera,Introducido,Cascajo,malpica,Amaranthaceae,1
Achyranthes aspera,Introducido,Occidente,malpica,Amaranthaceae,1
Achyranthes aspera,Introducido,Media Luna,malpica,Amaranthaceae,2
Achyranthes aspera,Introducido,Santa Rosa,malpica,Amaranthaceae,1
Acmella ciliata,Introducido,El Carmen,botón de oro,Asteraceae,1
Acmella ciliata,Introducido,Media Luna,botón de oro,Asteraceae,1
Acmella ciliata,Introducido,Santa Rosa,botón de oro,Asteraceae,2
Acmella sodiroi,Introducido,Bellavista,NA,Asteraceae,5
Acmella sodiroi,Introducido,Aguacatal,NA,Asteraceae,1
Acmella sodiroi,Introducido,Camote,NA,Asteraceae,3
Acmella sodiroi,Introducido,El Carmen,NA,Asteraceae,3
Acmella sodiroi,Introducido,Cascajo,NA,Asteraceae,7
Acmella sodiroi,Introducido,Occidente,NA,Asteraceae,4
Acmella sodiroi,Introducido,Guayabillos,NA,Asteraceae,3
Acmella sodiroi,Introducido,Media Luna,NA,Asteraceae,3
